Дата,Категория,Служба,Ранг,Имя,Год,Name,,,,
1/26/2022,Святой ,,Мчч.,"Анании пресвитера, Петра, темничного стража, и с ними семи воинов.",295,"Ananias presbyter, Peter, and seven soldiers.",,,,
1/26/2022,Святой ,,Прп.,Симеона Ветхого.,ок. 390,"Symeon ""the Ancient"".",,,,
1/26/2022,Святой ,,Перенесение мощей ,"прп. Феодора, игумена Студийского.",845,"of Venerable Theodore, abbot of the Studion.",,,,
1/26/2022,Святой ,,Свт.,"Иосифа, архиеп. Солунского.",830,"Joseph, bishop of Thessalonica.",,,,
1/26/2022,Святой ,,Блгв.,"Давида IV Возобновителя (Строителя), царя Иверии и Абхазии (Груз.).",1125,"David IV the Builder, king of Iberia and Abkhazia (Georgia).",,,,
1/26/2022,Святой ,,Мч.,Иоанна Попова.,1938,John.,,,,
1/27/2022,Святой ,,Перенесение мощей ,святителя Иоанна Златоуста,438,of Saint Hierarch John Chrysostom.,,,,
1/28/2022,Святой ,,Прп.,Ефрема Сирина.,373-379,Ephraim the Syrian.,,,,
1/28/2022,Святой ,,Прп.,Феодосия Тотемского.,1568,Theodosius of Totma.,,,,
1/28/2022,Святой ,,Прп.,Ефрема Новоторжского.,1053,Ephraim of Novotorzhok,,,,
1/28/2022,Святой ,,Прп.,"Ефрема Печерского, еп. Переяславского.",ок. 1098,"Ephraim of Kiev Caves, bishop of Pereyaslavl.",,,,
1/28/2022,Святой ,,Прп.,Палладия пустынника.,IV,Palladius the Hermit.,,,,
1/28/2022,Святой ,,Прп.,"Исаака Сирина, еп. Ниневийского.",VII,"Isaac the Syrian, bishop of Nineveh.",,,,
1/28/2022,Святой ,,Св.,"Феодора Богоявленского исп., пресвитера.",1933,"Theodore confessor, priest.",,,,
1/28/2022,Святой ,,Сщмчч.,"Игнатия, еп. Скопинского, Владимира Пищулина пресвитера и прмч. Варфоломея Ратных, мц. Ольги Евдокимовой",1938,"Ignatius bishop of Skopinsk, Vladimir priest and Monk-martyr Bartholomeus, Martyr Olga.",,,,
1/28/2022,Святой ,,Прп.,Леонтия Стасевича исп.,1972,"Leontius, confessor.",,,,
1/28/2022,Икона,,0,Суморинской-То́темской иконы Божией Матери.,0,"""Sumorin Totma"" Icon of the Mother of God.",,,,
1/29/2022,Святой ,,Перенесение мощей,сщмч. Игнатия Богоносца.,107,of Hieromartyr Ignatius the God-bearer.,,,,
1/29/2022,Святой ,,Свт.,"Лаврентия, затворника Печерского, еп. Туровского, в Ближних пещерах.",1194,"Laurence, recluse of the Kiev Caves and bishop of Turov.",,,,
1/29/2022,Святой ,,Свтт. ,"Герасима (1441), Питирима (1455), Ионы (1470), епископов Великопермских, Устьвымских",1441-1467,"Gerasimus (1441), Pitirim (1455), and Jonah (1470), bishops of Perm.",,,,
1/29/2022,Собор святых,,Собор святых,Коми.,0,of Komi.,,,,
1/29/2022,Святой ,,Мчч.,"Романа, Иакова, Филофея, Иперихия, Авива, Иулиана и Паригория.",297,"Romanus, James, Philotheus, Hyperechius, Abibus, Julian and Paregorius.",,,,
1/29/2022,Святой ,,Мчч.,"Сильвана епископа, Луки диакона и Мокия чтеца.",312,"Silvanus, bishop of Emesa, Luke the Deacon, and Mocius (Mucius) the Reader.",,,,
1/29/2022,Собор святых,,Собор святых,Екатеринбургских.,0,of Yekaterinburg.,,,,
1/29/2022,Святой ,,Сщмчч.,"Иоанна Гранитова и Леонтия Клименко пресвитеров, Константина Зверева диакона и с ними 5-ти мучеников.",1920,"John and Leontius priests, Constantine deacon and with them 5 Martyrs.",,,,
1/30/2022,Святой ,,0,"Собор Вселенских учителей и святителей Василия Великого, Григория Богослова и Иоанна Златоустого.",0,"Synaxis of the Three Hierarchs: St. Basil the Great, St. Gregory the Theologian, and St. John Chrysostom.",,,,
1/30/2022,Святой ,,Сщмч.,"Ипполита и с ним мчч. Кенсорина, Савина и 20-ти мучеников: Хрисии (Златы) девы и прочих.",III,"Hippolytus, of Rome, and with him Martyrs Censorinus, Sabinus and 20 martyrs: Chryse (Zlata) virgin and others.",,,,
1/30/2022,Святой ,,Блж.,Пелагии Дивеевской.,1884,Pelagia of Diveyevo.,,,,
1/30/2022,Святой ,,Прп.,"Зинона, постника Печерского, в Дальних пещерах.",XIV,Zeno the Faster of the Kiev Caves.,,,,
1/30/2022,Святой ,,Прп.,"Зинона, ученика свт. Василия Великого.",V,"Zeno, disciple of St. Basil the Great.",,,,
1/30/2022,Святой ,,Мч.,Феофила Нового.,784,Theophilus the New.,,,,
1/30/2022,Святой ,,Блгв.,"Петра, царя Болгарского.",967,"Peter, king of Bulgaria.",,,,
1/30/2022,Святой ,,Сщмч.,Владимира Хрищеновича пресвитера.,1933,Vladimir priest.,,,,
1/30/2022,Святой ,,Мч.,Стефана Наливайко.,1945,Stephen.,,,,
1/31/2022,Святой ,,Бессребреников,"мчч. Кира и Иоанна и с ними мцц. Афанасии и дочерей ее Феодотии, Феоктисты и Евдоксии.",311,"Martyrs Cyrus and John and with them Athanasia and her daughters Theoctiste, Theodota, and Eudoxia.",,,,
1/31/2022,Святой ,,Свт.,"Никиты, затворника Печерского, еп. Новгородского.",1108,"Nicetas of the Kiev Caves, bishop of Novgorod.",,,,
1/31/2022,Святой ,,Мчч.,"Викторина, Виктора, Никифора, Клавдия, Диодора, Серапиона и Папия.",251,"Victorinus, Victor, Nicephorus, Claudius, Diodorus, Serapion, and Papias.",,,,
1/31/2022,Святой ,,Мц.,Трифены Кизической,0,Tryphaenes at Cyzicus.,,,,
1/31/2022,Переходящий,, Собор святых ,Пермской митрополии (переходящее празднование в 1-е воскресенье после 29 января).,0,of Perm Metropolia (movable holiday on the Sunday after January 29th).,,,,
