Дата,Категория,Служба,Ранг,Имя,Год,Name,,,,
1/5/2022,Святой ,,Прор.,Михея.,IX в. До Р.Х.,Micah.,,,,
1/5/2022,Святой ,,Прп. ,Аполлинарии Египетской.,ок. 470,Apollinaris of Egypt.,,,,
1/5/2022,Святой ,,Прп. ,Фостирия. ,VI,Phosterius.,,,,
1/5/2022,Святой ,,Прп. ,Мины.,VI,Menas.,,,,
1/5/2022,Святой ,,Прп. ,Григория Акритского.,ок. 820,Gregory of Crete.,,,,
1/5/2022,Святой ,,Сщмч.,Андрея Зимина пресвитера.,1920,Andrew priest.,,,,
1/5/2022,Святой ,,Мч.,Иосифа Беспалова и с ним 37-ми мучеников.,1921,Joseph and with him 37 Martyrs.,,,,
1/5/2022,Святой ,,Мц.,Евгении Доможировой.,1933,Eugenia.,,,,
1/5/2022,Святой ,,Сщмч.,Сергия Лаврова пресвитера.,1934,Sergius priest.,,,,
1/5/2022,Святой ,,Мч.,Матфея Гусева.,1938,Matthew.,,,,
1/5/2022,Особенность,,0,св. Василия Великого.,0,St. Basil the Great.,,,,
1/6/2022,Праздник,,0,Святое Богоявление. Крещение Господа Бога и Спаса нашего Иисуса Христа.,,"The Holy Theophany. Baptism of Our Lord, God, and Saviour Jesus Christ.",,,,
1/6/2022,Святой ,,Свт.,"Преставление Феофана, Затворника Вышенского.",1894,Repose of St. Theophan the Recluse.,,,,
1/6/2022,Литургия ,,0,св. Иоанна Златоуста.,0,St. John Chrysostom,,,,
1/7/2022,Праздник,,0,Попразднство Богоявления.,0,Afterfeast of Theofany,,,,
1/7/2022,Святой ,,0,Собор Предтечи и Крестителя Господня Иоанна.,0,Synaxis of the Forerunner and Baptist John,,,,
1/8/2022,Святой ,,0,Прпп. Георгия Хозевита (VII) и Емилиана исп. (IX).,0,Venerables George the Chozebite (7th c.) and Emilian confessor.,,,,
1/8/2022,Святой ,,Прп.,Домники.,ок. 474,Domnica.,,,,
